mapid	extension	aspect	Day	twitter_id	handle	date_posted	tweet_id	website	description
_penguin_runner_18	jpg	16x11	18	223959960	_penguin_runner	2019-11-18T16:35:36Z	1196467001008513029	_	#30DayMapChallenge Day 18: Globe - Coordinate Reference System - World Quartic Authalic #CRS #EPSG54022 #naturalearth #opensource #QGIS #gischat #geography #cartography https://t.co/szysu2YhYI
_penguin_runner_19	jpg	16x11	19	223959960	_penguin_runner	2019-11-19T16:27:35Z	1196827369903972354	_	#30DayMapChallenge Day 19: Urban - Area of dense human habitation (also known as Urban Areas) from #naturalearth #opensource #QGIS #gischat #geography #cartography https://t.co/qF2HeEvMwZ
_penguin_runner_20	jpg	16x16	20	223959960	_penguin_runner	2019-11-20T16:05:03Z	1197184086932111361	_	#30DayMapChallenge Day 20: Rural - Edale Moor from Upper Derwent Valley #aeiralod #opensource #defra #lidar #peakdistrict #QGIS #gischat #geography #cartography https://t.co/aYzYQA7oB7
_penguin_runner_21	jpg	16x11	21	223959960	_penguin_runner	2019-11-21T16:45:17Z	1197556598413107200	_	#30DayMapChallenge Day 21: Environment - Woodland land cover within the Cairngorm National Park 2000-2018 #woodland #opensource #copernicus #corinelandcover #cairngormnationalpark #QGIS #gischat #geography #cartography https://t.co/y0Gi4zuHgH
_penguin_runner_22	jpg	16x5	22	223959960	_penguin_runner	2019-11-22T15:40:41Z	1197902729097732096	_	#30DayMapChallenge Day 22: Built Environment - @thinkwhere1 Advanced QGIS training course module 3 looks at creating a 3d image of a part of Inverness #3d #opensource #openstreetmap #osopen #QGIS #gischat #geography #cartography https://t.co/6M23hTm5sC
_penguin_runner_23	jpg	11x16	23	223959960	_penguin_runner	2019-11-23T22:26:22Z	1198367212500901891	_	#30DayMapChallenge Day 23: Population - Built Up Area Sub Division Populations - Wales (2015) #opensource #lle #osopen #QGIS #gischat #geography #cartography https://t.co/sZ9effPTNC
_penguin_runner_24	jpg	16x12	24	223959960	_penguin_runner	2019-11-25T13:53:43Z	1198962974284754944	_	A day late... #30DayMapChallenge Day 24: Statistics - Percentage of 18-30 year olds in and around Manchester (2011) #opensource #census2011 #manchester #naturalbreaksjenks #osopen #QGIS #gischat #geography #cartography https://t.co/mve0OUkV2m
_penguin_runner_25	jpg	16x9	25	223959960	_penguin_runner	2019-11-25T16:25:37Z	1199001200550694912	_	#30DayMapChallenge Day 25: Climate - Average temperatures throughout the year (1970-2000) #opensource #worldclim #climate #QGIS #gischat #geography #cartography https://t.co/PwLHsGzW7Y
_penguin_runner_26	jpg	11x16	26	223959960	_penguin_runner	2019-11-27T09:12:19Z	1199616934674915328	_	A day late... #30DayMapChallenge Day 26: Hyrdology - Surface Water - Scotland #opensource #surfacewater #osopen #QGIS #gischat #geography #cartography https://t.co/JLUnRRJijd
_penguin_runner_27	jpg	11x16	27	223959960	_penguin_runner	2019-11-27T16:33:15Z	1199727900406231040	_	#30DayMapChallenge Day 27: Resources - Wind Farms Scotland - Operational, Proposed &amp; Scoping #opensource #SNH #ScottishNaturalHeritage #marinescotland #crownestatescotland #windpower #osopen #QGIS #gischat #geography #cartography https://t.co/iRz0hiWuMC
_penguin_runner_28	jpg	16x9	28	223959960	_penguin_runner	2019-11-29T08:55:40Z	1200337520485183489	_	A day late...#30DayMapChallenge Day 28: Funny - My cartography skills when not using a GIS 😂🎨 #paint #gischat #geography #cartography https://t.co/yhQhFPTln6
_penguin_runner_29	jpg	16x9	29	223959960	_penguin_runner	2019-11-29T14:46:03Z	1200425698097283073	_	#30DayMapChallenge Day 29: Experimental - Created for my parents 30th Wedding Anniversary - The Dents Du Midi filled with locations that are special to them #opensource #osopen #osm #scotland #cornwall #yorkshire #peakdistrict #chatel #gischat #geography #cartography #makemapsart https://t.co/PwdKEDmcJ1
_penguin_runner_30	jpg	16x11	30	223959960	_penguin_runner	2019-11-30T22:21:25Z	1200902681981792258	_	#30DayMapChallenge Day 30: Home - 🏡 #opensource #imagery #stamen #scotland #stirling #gischat #geography #cartography #makemapsart https://t.co/PiSaNWckJa
_sebastianch__05	jpg	16x11	05	750118427105320960	_sebastianch_	2019-11-05T18:30:13Z	1191784799041675264	_	Lego #VA showing elevation for #30DayMapChallenge #raster #maps https://t.co/L9WjZ5PgUo
_willdebras_05	png	16x11	05	524827769	_willdebras	2019-11-05T20:39:32Z	1191817344919707649	_	"For today's #30DayMapChallenge prompt ""raster,"" I have maps of nighttime light data collected by NOAA satellites averaged over a year. These ""light pollution"" data are useful as a proxy for development or rurality and are just generally fun to play with. https://t.co/AGX5cgwYeZ"
1LuisDavid_30	jpg	13x16	30	98332912	1LuisDavid	2019-12-01T02:53:40Z	1200971196210319360	_	"Día 30: Home

¿Sabían que #AirBnB ofrece en renta más de 4 mil deptos/casas enteros tan solo en @AlcCuauhtemocMx?

¿Esto tendrá afectaciones para quienes viven ahí?
¿Habrá personas desplazadas de sus viviendas debido a la incursión de AirBnB en el mdo?
 #30daymapchallenge
#rstats https://t.co/mzL7IaOYXC"
7Javier6_15	jpg	16x15	15	359015182	7Javier6	2019-11-15T23:18:42Z	1195481277123715078	_	#LaPulla, #21N, A propósito del tema  #30daymapchallenge day 15 cronología de los líderes en las cabeceras municipales asesinados desde 2018, según el informe de “Violaciones a los Derechos Humanos en Tiempos de Paz” publicado por @indepaz, en cooperación con @ddiazescandon. https://t.co/ffyEcz8n67
7Javier6_17	jpg	16x11	17	359015182	7Javier6	2019-11-18T03:49:50Z	1196274286689955841	_	On the Origin of Species was published almos 160 years ago, so for the #30DayMapChallenge day 17, we show the evolution acceptance percentage in the countries visited by Darwin during  the HSM Beagle voyages, and some others countries. #QGIS #charlesdarwin @ddiazescandon. https://t.co/Kt0oPUgehS
7Javier6_19	jpg	12x16	19	359015182	7Javier6	2019-11-20T05:17:19Z	1197021079631486976	_	#30DayMapChallenge day 19, Interpolation by DBH of 250000 trees in urban areas in Cali, Colombia -“La Sucursal del Cielo”/ Interpolacion de 250000 árboles por DAP en el área urbana de Cali -“La Sucursal del Cielo”  @ddiazescandon #QGIS #TeamTrees @EnterateCali @elpaiscali #urban https://t.co/HNwYPnAanZ
7Javier6_21	jpg	16x11	21	359015182	7Javier6	2019-11-22T03:13:36Z	1197714719316033538	_	"Ecorregions WWF of the World #30DayMapChallenge day 21
@ddiazescandon @WWF_LAC #TeamTrees https://t.co/qIBHXvhESm"
7Javier6_22	jpg	16x11	22	359015182	7Javier6	2019-11-23T04:41:25Z	1198099208810745856	_	#30DayMapChallenge day 22 Built environment. Orwell’s dystopian World. @ddiazescandon https://t.co/0iYvdQ7LYU
7Javier6_24	jpg	16x11	24	359015182	7Javier6	2019-11-26T12:24:55Z	1199303016559587328	_	#30DayMapChallenge day 24, Mujeres desaparecidas en Colombia según el observatorio de violencia de medicina legal desde 2016 hasta abril de 2019 #NoViolenciaAlaMujer @ddiazescandon https://t.co/F1W74QuOV6
7Javier6_27	jpg	16x6	27	359015182	7Javier6	2019-11-28T07:06:55Z	1199947762307141637	_	#30DayMapChallenge day 27  Photovoltaic production since 1998 @ddiazescandon https://t.co/ScDgMu4cw2
7Javier6_29	jpg	16x11	29	359015182	7Javier6	2019-11-30T06:07:04Z	1200657478561751041	_	"#30DayMapChallenge day 29 a comparison between investment in war and investment in research by contry since 1997 @ddiazescandon 

Source: Stockholm International Peace Research Institute (@SIPRIorg ) &amp; @UNESCO https://t.co/gX5MVW29L9"
ABpdts_10	jpg	11x16	10	1162392841303277568	ABpdts	2019-11-10T19:08:51Z	1193606461265448960	_	#30DayMapChallenge Day-10 Black and White.  Density Map of Zebra Crossings built in @qgis, frequency per 10km square, based on @openstreetmap data and using @OrdnanceSurvey boundaries.  Seems an unusual distribution... sorry another play on colours/words, not much time today! https://t.co/qLHfYCwsZk
adalMC_12	jpg	16x12	12	1656493320	adalMC	2019-11-14T21:59:51Z	1195099047465488385	_	Me encontré con unos datos abiertos de operaciones de vuelos regulares nacionales del 2015. Los trasladé a un mapa para ver la cantidad de pasajeros que llegaron a los aeropuertos de la Península de Yucatán (radico en Mérida) para el #30daymapchallenge día 13. Aquí el resultado. https://t.co/Kchy5cYhBd
adalMC_13	jpg	16x11	13	1656493320	adalMC	2019-11-14T05:16:29Z	1194846540797546496	_	#30DayMapChallenge día 13. Presento la red carretera del país con los talleres, vulcanizadoras, reaccionarias, gasolineras y demás servicios para vehículos a 100 metros de las carreteras federales. Gracias al DENUE y la Red Nacional de Caminos publicadas por el @INEGI_INFORMA https://t.co/6gghMY6OYu
AdiBop__05	png	16x9	05	797871767809380352	AdiBop_	2019-11-05T08:39:20Z	1191636099472535552	_	"#30DayMapChallenge 
4 - raster

raster master i am not but here's the rasterised view of yday's 100m grids. fun doing this in #QGIS having previously only really used it as a styling tool after #postGIS  🤩 https://t.co/zXkmZtsxn9"
AdiBop__09	jpg	16x16	09	797871767809380352	AdiBop_	2019-11-09T10:31:48Z	1193113953716453381	_	"#30DayMapChallenge 
9 - yellow

Inspiration at site called Junique (original creator ""urban maps"").

manually selected vertices then min bounding box in #qgis and clipped #OSM layer to that.

styled in @tableaupublic , yellow base from @Mapbox 

check it - https://t.co/gQYiWuWxIo https://t.co/XcfGMcehOR"
AdiBop__10	jpg	13x16	10	797871767809380352	AdiBop_	2019-11-10T06:40:48Z	1193418207916384257	_	"#30daymapchallenge
10 - black &amp; white

Probably will move on from this technique now so cheerio with St petersburg.

⏩ https://t.co/bsE6rEOvzM https://t.co/Sky0Q0EQAt"
AdiBop__11	jpg	16x12	11	797871767809380352	AdiBop_	2019-11-11T06:41:20Z	1193780732105232384	_	"#30daymapchallenge
11 - elevation

1 for the cyclists. Box Hill (looking SE-ish). R arrow in bottom right shows that big roundabout on the approach. You know the 1. Hang a right, sip of water&amp;away you go. 

EA lidar data (1m). Processed+styled in #qgis. Colour palette a bit 🤷🏻
♀️ https://t.co/q4bHcKh8U4"
AdiBop__12	jpg	16x8	12	797871767809380352	AdiBop_	2019-11-12T05:37:28Z	1194127047582527488	_	"#30DayMapChallenge 
12 - movement

strava data into @tableau ""animated"" in pages 

was a hot day hence the 😝 https://t.co/BS0tI2GBrd"
AdiBop__13	jpg	16x11	13	797871767809380352	AdiBop_	2019-11-14T14:45:27Z	1194989726039760897	_	"#30DayMapChallenge 
13 - tracks

wonderful train tracks of Oz.

OSM data, #qgis. https://t.co/ZC6XrTzC5G"
AdiBop__14	jpg	16x16	14	797871767809380352	AdiBop_	2019-11-16T09:15:58Z	1195631584361226241	_	"#30DayMapChallenge 
14 - boundaries

the future of the uk? still hoping not.

processing and reprojection in #qgis, hacked back to wgs84 for #tableau

https://t.co/5UCcmCDj2Q https://t.co/n8XEWIwiub"
AdiBop__15	jpg	16x9	15	797871767809380352	AdiBop_	2019-11-21T12:06:27Z	1197486430219575297	_	"#30daymapchallenge
15 - names

Buildings in London with some form of royal connection in the name.

done in #alteryx and #tableau. sneaky #mapbox in there too. not bored of this map style yet... 1 trick 🐴...

https://t.co/StgO3aYzlD https://t.co/e2r6SNVJBV"
AdiBop__16	jpg	16x11	16	797871767809380352	AdiBop_	2019-11-21T15:35:30Z	1197539037885739010	_	"#30DayMapChallenge 
16 - places

old school digitising project done in #arcgis in the style of a tourist info map. a few years old but still going to say it fits for this month's challenge. https://t.co/siHKj2J8W2"
AdiBop__17	jpg	16x12	17	797871767809380352	AdiBop_	2019-11-21T15:38:29Z	1197539788703842304	_	"#30DayMapChallenge 
17 - zones

bathymetric ""zones"" (too tenuous?) around Japan highlighting the deep ocean trench. will be difficult to get your head around because the focus is ocean not land. but...here we are - #alteryx #tableau 

https://t.co/cGfYBDe84Y https://t.co/tk35cSSnC7"
AdiBop__18	jpg	16x14	18	797871767809380352	AdiBop_	2019-11-22T13:58:56Z	1197877125832941568	_	"#30DayMapChallenge 
18 - globe

Earthquakes of the Americas on an azimuth orthographic projection. Needed @mapsOverlord tutorial to get back into #tableau &amp; #mapbox. #qgis to create the custom projection (using @sdbernard YT tutorial)

🌎https://t.co/Lf1c4RJ87J https://t.co/smPdH6BQe8"
AdiBop__19	jpg	16x14	19	797871767809380352	AdiBop_	2019-11-24T08:30:22Z	1198519215298404353	_	"#30DayMapChallenge 
19 - urban

grid density streetlights in greater manchester.
processed in #alteryx, viz in #tableau. really the shapefile is too big for tableau - unresponsive, too heavy to interact with, laggy.

anyhow - https://t.co/4lVHLaGdme https://t.co/dJVgBU6IIe"
AdiBop__20	jpg	16x16	20	797871767809380352	AdiBop_	2019-11-24T10:57:51Z	1198556327343218688	_	"#30DayMapChallenge
20 - rural

OSM land use layer filtered for rural types in #alteryx, viz in #tableau. **bonus paint spatter map of all land use types cos i thought it looked beaut.

view - https://t.co/PRAaHv83vh https://t.co/8go7nrJvSG"
AdiBop__21	jpg	16x10	21	797871767809380352	AdiBop_	2019-11-25T10:54:41Z	1198917920631508993	_	"#30DayMapChallenge 
21 - environment

global biomes using mollweide projection. conversion in #qgis, visualised in #tableau
#nomorewgs84

https://t.co/tBozAV1nhL https://t.co/zcFfLJPYkQ"
AdiBop__22	jpg	16x11	22	797871767809380352	AdiBop_	2019-11-25T11:34:07Z	1198927844644139008	_	"#30DayMapChallenge 
22 - built environment

was always gonna happen at some point in the month...re-release of this old chestnut. Air quality in LDN linked to the built environment 💁
♀️
#alteryx #qgis https://t.co/AqB4LoFMNl"
AdiBop__23	jpg	16x12	23	797871767809380352	AdiBop_	2019-11-27T11:49:54Z	1199656590934196224	_	"#30DayMapChallenge 
23 - population

proportion of E+W population aged 70+ (based on ONS MYE, 2019). Bit of re-shaping in #alteryx, visualised in #tableau.

▶️https://t.co/jDgKANP4oJ https://t.co/uxxRNcptp4"
AdiBop__25	jpg	16x10	25	797871767809380352	AdiBop_	2019-11-28T13:03:08Z	1200037406994554880	_	"#30daymapchallenge
25 - climate

koppen-geiger climate classification showing another 3 different global projections in #tableau. #alteryx used for reprojections.
#nomorewgs84

▶️https://t.co/i0IyzOc4SN https://t.co/foq7jBmQPP"
AdiBop__30	jpg	16x11	30	797871767809380352	AdiBop_	2019-11-29T17:40:58Z	1200469717347110912	_	"#30daymapchallenge
30 - home

continuing the love affair with London, here's the building density per 100m grid square of the city that we love. #osm, #alteryx, and #tableau

▶️https://t.co/pAzlHtCSoJ https://t.co/cZOy2dlSz3"
adisadit_05	jpg	11x16	05	116146018	adisadit	2019-11-05T11:40:25Z	1191681669415071744	_	"#30DayMapChallenge - Day 5: Raster

I used data from BNPB (InaRISK) that showing earthquake risk index for Sulawesi Island. Red for high risk and green for low risk. Made with @qgis 3.10.

Data:
- Earthquake Risk Index from InaRISK BNPB
- Coastline from OpenStreetMap

 #QGIS https://t.co/wfz6vUvJZq"
adisadit_10	jpg	16x11	10	116146018	adisadit	2019-11-10T14:49:31Z	1193541201145692160	_	"#30DayMapChallenge Day 10 - Black and white

A relief map of Rinjani Mountain, one of the active volcanoes in Indonesia as well as the most visited trekking site in Lombok.

credits to: 
@openstreetmap &amp; @InfoGeospasial https://t.co/i7bEMRGtjj"
adisadit_11	jpg	16x14	11	116146018	adisadit	2019-11-11T12:05:33Z	1193862323850498048	_	"#30DayMapChallenge - Day 11 : Elevation

Lombok Island DEM from @InfoGeospasial processed with @qgis https://t.co/mnfYo1muSO"
AgroDer_03	jpg	16x14	03	509842172	AgroDer	2019-11-16T01:02:21Z	1195507363790368769	_	"Mx siembra 313 cultivos en 21 millones de ha, en 2,432 municipios.
Para 44% de ellos (1,061) el #maíz es el principal cultivo en términos de valor.

Claro que, si el mapa fuera por relevancia cultural y gastronómica, en todos ellos sería maíz🌽

#ElPaísDelMaíz

#30DayMapChallenge https://t.co/o7hebDeEQC"
AgroDer_08	jpg	16x9	08	509842172	AgroDer	2019-11-09T17:15:46Z	1193215615932260355	_	"México cuenta con múltiples estrategias para proteger su riqueza natural, #biodiversidad y #ecosistemas. 

En 1917 inició la historia de una de ellas...
#ANP #ÁreasNaturalesProtegidas
#30dayMapChallenge https://t.co/B1afKCpWcm"
AgroDer_17	jpg	16x11	17	509842172	AgroDer	2019-11-14T17:30:49Z	1195031344574816257	_	"México tiene una gran riqueza natural, que nos hace sentir orgullosos 😎, pero también nos obliga a cuidarla. 
¿Sabes cómo protegemos este patrimonio?
💧🌳🌵🏞️🐺🐝🐳🦋
#ÁreasNaturalesProtegidas
#ReservasDeAgua
#30DayMapChallenge https://t.co/61AC4j1l8G"
AgroDer_18	jpg	16x11	18	509842172	AgroDer	2019-11-13T18:44:22Z	1194687466164424705	_	"En el mundo, millones de agricultores cultivan cientos de cultivos en más de 1,600 millones de hectáreas cada año. 
👨
🌾👩
🌾
En cada región, la dieta y la vocación productiva son diferentes. 🌽☕️🍇🥔🍞🍌🍚

¿Sabes cuál es el principal cultivo en cada país?
#30dayMapChallenge https://t.co/oxv2a74Tnq"
AgroDer_19	jpg	16x7	19	509842172	AgroDer	2019-11-21T23:16:44Z	1197655109653663744	_	"¿Vivir en una gran ciudad o en el campo?
🏞️🏙️
Detrás de la respuesta hay distintas circunstancias, sueños, necesidades y oportunidades.
La realidad: el mundo se ha urbanizado y la proporción de #PoblaciónRural disminuye.

% de #Población #Rural x país 1950-2018
#30DayMapChallenge https://t.co/Yrf5xeCBLe"
AgroDer_20	jpg	16x10	20	509842172	AgroDer	2019-11-30T00:27:56Z	1200572132281012231	_	"La contrastante expansión de los grandes centros urbanos (a través de luces nocturnas) y la dispersión de las poblaciones rurales en México...

#30DayMapChallenge https://t.co/csOHMCJSgq"
AgroDer_26	jpg	16x8	26	509842172	AgroDer	2019-11-27T18:46:21Z	1199761395430113285	_	"Naturaleza que fluye y perdura: 
Ríos libres, Bosques intactos y manglares en el mundo.
#Agua #Forestal 
#30DayMapChallenge https://t.co/pOZ3e3TuxD"
AgroDer_27	jpg	16x10	27	509842172	AgroDer	2019-11-26T19:24:41Z	1199408653079584768	_	"La producción de alimentos es el principal uso que damos al #Agua y #Suelo. 

Las condiciones en que éstos se encuentran en México nos exigen transitar hacia modelos productivos #sostenibles y acercarnos a lo #orgánico.
#30DayMapChallenge https://t.co/1hnP2h3m3q"
akadouri_09	jpg	16x8	09	215404498	akadouri	2019-11-10T01:12:37Z	1193335619511939072	_	"Traveling to Kansas for #30DayMapChallenge Day 9: Yellow. The Kansas state code officially designates a portion of U.S. 54 as ""The Yellow Brick Road"", and the city of Liberty as ""the land of Oz"". https://t.co/gG2GRqpXAq"
akadouri_10	jpg	13x16	10	215404498	akadouri	2019-11-11T00:37:42Z	1193689221493510145	_	Going for a quick hand drawn map of little imaginary interconnected islands. #30daymapchallenge Day 10: Black and White. https://t.co/nZbQecSUFy
akadouri_11	jpg	16x16	11	215404498	akadouri	2019-11-12T03:09:08Z	1194089717010178048	_	"Another day, another map. #30DayMapChallenge Day 11: Elevation. 

If you haven't already, checkout osmnx. A handy library for working with osm networks. https://t.co/lZRuvpqwzl https://t.co/Al0WTDvyuc"
akadouri_12	jpg	16x7	12	215404498	akadouri	2019-11-13T03:47:54Z	1194461860709289984	_	Day 12: Movement. June 2019 NYC Taxi Pickups, Manhattan. #30DayMapChallenge https://t.co/PaQTpJNqu8
akadouri_13	jpg	16x16	13	215404498	akadouri	2019-11-14T03:18:44Z	1194816910325452802	_	The shapes we run. #30DayMapChallenge Day 13: Tracks https://t.co/B1Ooqgicod
akadouri_14	png	16x16	14	215404498	akadouri	2019-11-15T01:51:49Z	1195157422995734528	_	Let's ignore all physical and cultural geography and just draw lines where the population is. #30DayMapChallenge Day 14: Boundaries. https://t.co/afq2R1FAE5
akadouri_16	png	16x16	16	215404498	akadouri	2019-11-18T07:04:31Z	1196323280048685057	_	The places mentioned in today's NYTime's World Section - Top Stories via NYTimes API. If I ever survive  #30DayMapChallenge, I'll script this one away. Catchup on Day 16: Places https://t.co/szRoeCKuwj
akadouri_17	jpg	16x16	17	215404498	akadouri	2019-11-18T05:29:06Z	1196299267066875904	_	There's a lot of nuance lost here in a quickly styled zoning map of Seattle, but a peek at our abundance of single family zones (in gray). #30DayMapChallenge Day 17:Zones https://t.co/qIZulkkAjs
akadouri_18	png	16x16	18	215404498	akadouri	2019-11-19T07:16:58Z	1196688800501551105	_	Wind speed over the pacific on a week in '96. #30DayMapChallenge Day 18: Globe https://t.co/g1kjWIiQ3A
akadouri_19	png	16x11	19	215404498	akadouri	2019-11-20T08:54:31Z	1197075741218787328	_	If you haven't noticed by now, my #30DayMapChallenge is an ad campaign for OpenStreetMap. Not much to add for Day 19:Urban, plainly plotting the building footprints for the City of London. https://t.co/92TTyxOMcd
alastairotter_10	jpg	16x11	10	14868073	alastairotter	2019-11-11T09:01:13Z	1193815935007776768	_	My Day 10 effort for #30DayMapChallenge (black &amp; white) a map explorer/gallery. Click to change cities. https://t.co/kmEiO6UKd3 https://t.co/w95EmHRsQs
alastairotter_13	jpg	16x11	13	14868073	alastairotter	2019-11-12T10:00:11Z	1194193162279047168	_	One more #30daymapchallenge The past 20 men's marathon records (since 1967) compared with Eliud Kipchoge's 1:59:40 run in Vienna in Oct. The two red runners are Kipchoge, the first is his 1:59:40 run. The second his world record. The route is the Berlin Marathon route. https://t.co/pXfXKg6se4
alexgleith_22	jpg	16x9	22	48219656	alexgleith	2019-11-23T04:22:12Z	1198094371091963904	_	#30DayMapChallenge Day 22: Built Environment. This one is a bit low effort, but I worked on a nice interactive urban planning web app a couple of years ago using MapboxGL JS and a bunch of fancy research. Lego simplicity + high quality science makes for a fun way to plan change! https://t.co/XS0VzI1ldK
Alice_Caron__21	jpg	16x14	21	1191756832458649600	Alice_Caron_	2019-11-21T11:08:09Z	1197471755834724353	_	"#30DayMapChallenge day 21: Environment
Between two lakes, ecological corridors and protected natural areas https://t.co/8mPnRNrB0l"
Alice_Caron__22	png	16x11	22	1191756832458649600	Alice_Caron_	2019-11-22T16:24:54Z	1197913858335219712	_	"#30DayMapChallenge Day 22: Built environment
Montbrison plan, pen &amp; paper (2012) https://t.co/CtSCLH0tIe"
